股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",9.77%
2383,台光電,"4,486,000",7.99%
2327,國巨*,"23,292,000",7.85%
2454,聯發科,"4,861,000",7.42%
2345,智邦,"6,334,000",5.41%
6223,旺矽,"2,279,000",5.01%
2308,台達電,"6,572,000",4.85%
6669,緯穎,"2,492,000",4.33%
3037,欣興,"12,466,000",4.22%
3017,奇鋐,"5,191,000",4.2%
2368,金像電,"8,315,000",3.9%
2303,聯電,"77,390,000",3.71%
3711,日月光投控,"17,948,000",3.66%
3665,貿聯-KY,"4,833,848",3.46%
8046,南電,"10,828,000",3.28%
3653,健策,"2,267,000",3.1%
6274,台燿,"4,927,000",2.82%
5274,信驊,"422,000",2.67%
6515,穎崴,"436,000",1.41%
6510,精測,"930,000",1.13%
6805,富世達,"1,811,000",1.06%
8210,勤誠,"2,267,000",1.04%
2317,鴻海,"7,307,000",0.68%
3533,嘉澤,"852,000",0.67%
8996,高力,"1,034,000",0.54%
6187,萬潤,"1,334,000",0.53%
6147,頎邦,"6,275,000",0.49%
3443,創意,"258,000",0.45%
5439,高技,"3,528,000",0.39%
4966,譜瑞-KY,"1,642,000",0.38%
8150,南茂,"11,635,000",0.38%
2449,京元電子,"3,645,000",0.35%
4958,臻鼎-KY,"1,428,000",0.31%
6278,台表科,"4,334,000",0.3%
1590,亞德客-KY,"530,000",0.24%
8358,金居,"980,000",0.21%
6191,精成科,"3,988,000",0.14%
6488,環球晶,"350,000",0.13%
3376,新日興,"1,741,000",0.12%
6271,同欣電,"1,466,000",0.11%
2002,中鋼,"5,163,000",0.03%
2313,華通,"329,000",0.03%
3264,欣銓,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
