股票代號,股票名稱,股數,持股權重
2330,台積電,"11,464,000",9.77%
2454,聯發科,"5,086,000",9.26%
3037,欣興,"20,100,000",8.2%
2383,台光電,"4,650,000",8.09%
3017,奇鋐,"5,889,000",7.21%
3653,健策,"2,502,000",5.96%
2327,國巨*,"24,757,000",4.95%
2308,台達電,"7,320,000",4.82%
6223,旺矽,"2,499,000",4.66%
2303,聯電,"87,118,000",4.62%
2345,智邦,"6,264,000",4.09%
8046,南電,"8,937,000",3.82%
6669,緯穎,"4,873,561",3.55%
3711,日月光投控,"13,966,000",3.36%
3665,貿聯-KY,"3,876,848",3.12%
6274,台燿,"5,886,000",3.03%
6805,富世達,"1,673,000",1.46%
2449,京元電子,"12,938,450",1.39%
5274,信驊,"168,900",1.15%
3443,創意,"388,000",1.14%
2368,金像電,"1,634,000",0.62%
4958,臻鼎-KY,"3,483,000",0.57%
3264,欣銓,"4,982,000",0.42%
8210,勤誠,"1,139,000",0.35%
6510,精測,"251,000",0.29%
8996,高力,"476,000",0.25%
6278,台表科,"3,193,000",0.23%
6515,穎崴,"93,000",0.19%
6271,同欣電,"2,185,000",0.17%
6191,精成科,"3,921,000",0.11%
3376,新日興,"1,740,000",0.1%
2313,華通,"501,000",0.04%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
6187,萬潤,"1,000",0%
4979,華星光,"1,000",0%
2408,南亞科,"1,000",0%
2637,慧洋-KY,"1,000",0%
2360,致茂,"1,000",0%
6488,環球晶,"1,000",0%
4966,譜瑞-KY,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
