股票代號,股票名稱,股數,持股權重
2330,台積電,"11,359,000",9.23%
2383,台光電,"4,605,000",8.12%
2454,聯發科,"4,463,000",6.29%
2345,智邦,"6,231,000",5.87%
2308,台達電,"6,572,000",5.36%
3665,貿聯-KY,"4,703,848",4.97%
2368,金像電,"8,260,000",4.2%
8046,南電,"12,658,000",4.18%
3017,奇鋐,"4,351,000",4.04%
6669,緯穎,"2,047,000",3.97%
6223,旺矽,"2,084,000",3.78%
3653,健策,"2,267,000",3.31%
3037,欣興,"10,387,000",3.25%
5274,信驊,"483,000",3.13%
3711,日月光投控,"13,833,000",2.7%
2327,國巨*,"17,221,000",2.45%
6274,台燿,"4,151,000",2.2%
6515,穎崴,"442,000",1.62%
2303,聯電,"46,374,000",1.6%
3443,創意,"764,000",1.59%
2449,京元電子,"12,919,000",1.41%
2317,鴻海,"14,177,000",1.3%
6805,富世達,"1,761,000",1.28%
6510,精測,"930,000",1.28%
8210,勤誠,"1,967,000",1.11%
3264,欣銓,"9,030,000",0.74%
3661,世芯-KY,"296,000",0.58%
2404,漢唐,"1,394,000",0.52%
2357,華碩,"1,996,000",0.5%
6187,萬潤,"1,224,000",0.49%
5439,高技,"3,228,000",0.46%
8996,高力,"1,034,000",0.4%
8150,南茂,"11,334,000",0.37%
8358,金居,"1,980,000",0.33%
1590,亞德客-KY,"530,000",0.3%
4966,譜瑞-KY,"1,036,000",0.28%
2313,華通,"2,624,000",0.23%
6415,矽力*-KY,"940,000",0.16%
6191,精成科,"3,988,000",0.14%
2481,強茂,"3,654,000",0.14%
3376,新日興,"1,741,000",0.13%
3036,文曄,"1,200,000",0.12%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.03%
1319,東陽,"511,000",0.02%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2337,旺宏,"8,000",0%
6147,頎邦,"1,000",0%
5347,世界,"1,000",0%
