股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",10.03%
2383,台光電,"4,486,000",7.62%
2454,聯發科,"4,263,000",6.64%
2308,台達電,"6,572,000",5.6%
2345,智邦,"6,231,000",5.5%
3017,奇鋐,"5,191,000",4.95%
2327,國巨*,"18,313,000",4.79%
6669,緯穎,"2,437,000",4.77%
6223,旺矽,"2,169,000",4.63%
3037,欣興,"12,466,000",4.26%
3711,日月光投控,"17,948,000",3.74%
2368,金像電,"7,769,000",3.69%
3665,貿聯-KY,"4,703,848",3.56%
8046,南電,"10,828,000",3.34%
2303,聯電,"71,690,000",3.15%
3653,健策,"2,267,000",2.97%
5274,信驊,"422,000",2.71%
6274,台燿,"4,400,000",2.62%
6515,穎崴,"442,000",1.34%
6805,富世達,"1,761,000",1.23%
6510,精測,"930,000",1.15%
8210,勤誠,"2,167,000",1.08%
2382,廣達,"5,441,000",0.77%
2317,鴻海,"7,307,000",0.75%
3533,嘉澤,"852,000",0.72%
6147,頎邦,"5,775,000",0.55%
6187,萬潤,"1,334,000",0.52%
2404,漢唐,"1,200,000",0.52%
5439,高技,"3,528,000",0.45%
4966,譜瑞-KY,"1,642,000",0.44%
8996,高力,"1,034,000",0.41%
2449,京元電子,"3,645,000",0.41%
8150,南茂,"11,635,000",0.41%
6278,台表科,"3,734,000",0.28%
3443,創意,"167,000",0.26%
1590,亞德客-KY,"530,000",0.24%
3008,大立光,"161,000",0.22%
8358,金居,"980,000",0.19%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.13%
6271,同欣電,"686,000",0.06%
2002,中鋼,"5,163,000",0.03%
2313,華通,"329,000",0.03%
1319,東陽,"511,000",0.02%
3264,欣銓,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
