股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",10.77%
2383,台光電,"4,597,000",8.86%
2327,國巨*,"25,098,000",8.38%
2454,聯發科,"5,131,000",7.63%
2345,智邦,"6,334,000",5.74%
6223,旺矽,"2,382,000",5.55%
2303,聯電,"86,550,000",4.95%
3037,欣興,"15,203,000",4.71%
3017,奇鋐,"5,191,000",4.69%
6669,緯穎,"2,417,000",4.47%
3665,貿聯-KY,"4,833,848",3.53%
2308,台達電,"5,052,000",3.52%
2368,金像電,"8,315,000",3.48%
8046,南電,"8,949,000",3.4%
3711,日月光投控,"12,742,000",3.06%
6274,台燿,"5,160,000",3%
3653,健策,"2,267,000",2.67%
5274,信驊,"416,900",2.22%
6805,富世達,"1,811,000",1%
8210,勤誠,"2,267,000",0.98%
6515,穎崴,"204,000",0.6%
6187,萬潤,"1,334,000",0.48%
6147,頎邦,"6,275,000",0.46%
5439,高技,"3,528,000",0.43%
6510,精測,"411,000",0.43%
6278,台表科,"4,334,000",0.31%
6271,同欣電,"2,966,000",0.27%
1590,亞德客-KY,"528,000",0.27%
2449,京元電子,"1,886,000",0.22%
6191,精成科,"3,988,000",0.15%
3264,欣銓,"1,508,000",0.13%
3376,新日興,"1,741,000",0.12%
2002,中鋼,"5,163,000",0.04%
4966,譜瑞-KY,"140,000",0.03%
6488,環球晶,"50,000",0.02%
8996,高力,"1,000",0%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
3008,大立光,"1,000",0%
4958,臻鼎-KY,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
