股票代號,股票名稱,股數,持股權重
2330,台積電,"11,657,000",10.2%
2383,台光電,"4,723,000",8.38%
2345,智邦,"6,231,000",6.07%
2454,聯發科,"4,263,000",5.66%
6223,旺矽,"2,169,000",5.2%
2308,台達電,"6,572,000",5.18%
3017,奇鋐,"4,925,000",4.63%
6669,緯穎,"2,294,000",4.56%
8046,南電,"12,658,000",3.91%
3665,貿聯-KY,"4,703,848",3.72%
2327,國巨*,"18,313,000",3.58%
3037,欣興,"10,822,000",3.45%
2368,金像電,"7,018,000",3.43%
5274,信驊,"483,000",3.05%
3711,日月光投控,"14,998,000",2.99%
3653,健策,"2,267,000",2.89%
2303,聯電,"63,190,000",2.74%
6274,台燿,"4,151,000",2.04%
6515,穎崴,"442,000",1.77%
2449,京元電子,"12,919,000",1.49%
6510,精測,"930,000",1.35%
6805,富世達,"1,761,000",1.19%
8210,勤誠,"1,967,000",1.06%
3264,欣銓,"9,030,000",0.81%
2404,漢唐,"1,394,000",0.55%
6187,萬潤,"1,224,000",0.54%
5439,高技,"3,528,000",0.52%
2357,華碩,"1,703,000",0.42%
8996,高力,"1,034,000",0.42%
3008,大立光,"329,000",0.42%
2313,華通,"4,124,000",0.42%
8150,南茂,"11,334,000",0.36%
8358,金居,"1,980,000",0.33%
6278,台表科,"3,734,000",0.31%
4966,譜瑞-KY,"1,036,000",0.31%
1590,亞德客-KY,"530,000",0.3%
6415,矽力*-KY,"1,038,000",0.21%
3443,創意,"107,000",0.2%
2481,強茂,"3,654,000",0.18%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.14%
3036,文曄,"1,200,000",0.12%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.04%
1319,東陽,"511,000",0.02%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
6147,頎邦,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
