股票代號,股票名稱,股數,持股權重
2383,台光電,"4,863,000",10%
2330,台積電,"12,134,000",9.43%
3037,欣興,"20,330,000",7.38%
2454,聯發科,"5,448,000",7.15%
3017,奇鋐,"5,900,000",6.02%
6669,緯穎,"2,496,000",5.35%
2327,國巨*,"25,437,000",5.01%
2345,智邦,"6,594,000",4.89%
6223,旺矽,"2,443,000",4.59%
2308,台達電,"7,070,000",4.32%
3653,健策,"2,375,000",4.11%
8046,南電,"9,634,000",4.04%
3711,日月光投控,"19,529,000",3.89%
2303,聯電,"87,718,000",3.45%
3665,貿聯-KY,"4,616,848",3.19%
6274,台燿,"5,499,000",2.85%
5274,信驊,"484,900",2.67%
6805,富世達,"2,265,000",1.41%
2368,金像電,"3,500,000",1.15%
2449,京元電子,"11,295,450",0.91%
8210,勤誠,"2,497,000",0.82%
6187,萬潤,"1,334,000",0.6%
2360,致茂,"622,000",0.48%
6510,精測,"478,000",0.45%
8996,高力,"1,102,000",0.43%
4979,華星光,"2,424,000",0.43%
3264,欣銓,"5,918,000",0.42%
4958,臻鼎-KY,"1,682,000",0.27%
6278,台表科,"3,250,000",0.18%
6271,同欣電,"2,224,000",0.14%
6191,精成科,"3,988,000",0.11%
3376,新日興,"1,741,000",0.11%
4966,譜瑞-KY,"140,000",0.03%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
3443,創意,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
3533,嘉澤,"1,000",0%
2408,南亞科,"1,000",0%
6515,穎崴,"1,000",0%
6488,環球晶,"1,000",0%
2313,華通,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
