股票代號,股票名稱,股數,持股權重
2330,台積電,"11,657,000",9.44%
2383,台光電,"4,723,000",9.12%
2454,聯發科,"4,263,000",6.35%
2345,智邦,"6,231,000",5.55%
2308,台達電,"6,572,000",5.28%
6223,旺矽,"2,169,000",4.72%
6669,緯穎,"2,344,000",4.61%
3017,奇鋐,"5,041,000",4.55%
2327,國巨*,"18,313,000",4.44%
3665,貿聯-KY,"4,703,848",3.93%
2368,金像電,"7,669,000",3.83%
3037,欣興,"10,822,000",3.76%
8046,南電,"11,398,000",3.53%
3711,日月光投控,"14,998,000",3.25%
3653,健策,"2,267,000",3%
2303,聯電,"66,190,000",2.9%
5274,信驊,"422,000",2.62%
6274,台燿,"4,151,000",2.33%
2449,京元電子,"12,919,000",1.44%
6515,穎崴,"442,000",1.37%
6510,精測,"930,000",1.13%
6805,富世達,"1,761,000",1.08%
8210,勤誠,"1,967,000",0.99%
2404,漢唐,"1,715,000",0.75%
3533,嘉澤,"772,000",0.7%
6187,萬潤,"1,224,000",0.52%
3264,欣銓,"6,217,000",0.49%
5439,高技,"3,528,000",0.48%
3008,大立光,"329,000",0.44%
2313,華通,"4,124,000",0.43%
8996,高力,"1,034,000",0.41%
8358,金居,"1,980,000",0.38%
8150,南茂,"11,334,000",0.35%
6278,台表科,"3,734,000",0.31%
4966,譜瑞-KY,"1,036,000",0.3%
1590,亞德客-KY,"530,000",0.27%
6147,頎邦,"3,201,000",0.27%
6415,矽力*-KY,"1,038,000",0.23%
3443,創意,"96,000",0.18%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.13%
2481,強茂,"2,056,000",0.1%
2357,華碩,"273,000",0.07%
6271,同欣電,"686,000",0.06%
2002,中鋼,"5,163,000",0.04%
3217,優群,"382,000",0.03%
1319,東陽,"511,000",0.01%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
