股票代號,股票名稱,股數,持股權重
2330,台積電,"11,960,000",9.75%
2383,台光電,"4,486,000",7.64%
2454,聯發科,"4,649,000",6.86%
2327,國巨*,"21,168,000",6.39%
2345,智邦,"6,334,000",5.22%
6223,旺矽,"2,279,000",5.21%
2308,台達電,"6,572,000",5.14%
3017,奇鋐,"5,191,000",4.4%
6669,緯穎,"2,492,000",4.26%
3037,欣興,"12,466,000",3.97%
3665,貿聯-KY,"4,833,848",3.94%
2368,金像電,"8,315,000",3.87%
3711,日月光投控,"17,948,000",3.74%
2303,聯電,"75,890,000",3.57%
8046,南電,"10,828,000",3.13%
3653,健策,"2,267,000",2.95%
5274,信驊,"422,000",2.75%
6274,台燿,"4,763,000",2.4%
6515,穎崴,"442,000",1.5%
8210,勤誠,"2,267,000",1.18%
6510,精測,"930,000",1.18%
6805,富世達,"1,811,000",1.17%
3533,嘉澤,"852,000",0.67%
2317,鴻海,"7,307,000",0.67%
2404,漢唐,"1,200,000",0.55%
6187,萬潤,"1,334,000",0.51%
6147,頎邦,"5,775,000",0.46%
8996,高力,"1,034,000",0.42%
5439,高技,"3,528,000",0.41%
3443,創意,"258,000",0.4%
8150,南茂,"11,635,000",0.4%
4966,譜瑞-KY,"1,642,000",0.39%
2449,京元電子,"3,645,000",0.36%
6278,台表科,"4,334,000",0.32%
4958,臻鼎-KY,"1,428,000",0.28%
1590,亞德客-KY,"530,000",0.24%
8358,金居,"980,000",0.2%
6191,精成科,"3,988,000",0.13%
3376,新日興,"1,741,000",0.12%
6271,同欣電,"1,066,000",0.09%
2002,中鋼,"5,163,000",0.03%
2313,華通,"329,000",0.03%
1319,東陽,"278,000",0.01%
3264,欣銓,"1,000",0%
3661,世芯-KY,"1,000",0%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
