股票代號,股票名稱,股數,持股權重
2330,台積電,"11,657,000",9.86%
2383,台光電,"4,723,000",8.66%
2345,智邦,"6,231,000",6.21%
2454,聯發科,"4,263,000",5.41%
2308,台達電,"6,572,000",5.28%
6223,旺矽,"2,169,000",5.08%
3017,奇鋐,"4,925,000",4.69%
6669,緯穎,"2,294,000",4.65%
8046,南電,"12,658,000",4%
3665,貿聯-KY,"4,703,848",3.94%
2368,金像電,"7,018,000",3.74%
3037,欣興,"10,822,000",3.55%
5274,信驊,"483,000",3.21%
2327,國巨*,"18,313,000",3.15%
3711,日月光投控,"14,998,000",3.06%
3653,健策,"2,267,000",2.84%
6274,台燿,"4,151,000",2.24%
2303,聯電,"46,374,000",1.87%
6515,穎崴,"442,000",1.74%
6510,精測,"930,000",1.44%
2449,京元電子,"12,919,000",1.43%
6805,富世達,"1,761,000",1.17%
3443,創意,"618,000",1.17%
8210,勤誠,"1,967,000",1.07%
3264,欣銓,"9,030,000",0.77%
2404,漢唐,"1,394,000",0.55%
5439,高技,"3,528,000",0.54%
6187,萬潤,"1,224,000",0.52%
2357,華碩,"1,996,000",0.51%
8996,高力,"1,034,000",0.41%
3008,大立光,"329,000",0.38%
2313,華通,"4,124,000",0.38%
8150,南茂,"11,334,000",0.35%
8358,金居,"1,980,000",0.32%
4966,譜瑞-KY,"1,036,000",0.32%
1590,亞德客-KY,"530,000",0.29%
6278,台表科,"2,500,000",0.21%
6415,矽力*-KY,"940,000",0.18%
3661,世芯-KY,"89,000",0.16%
2481,強茂,"3,654,000",0.16%
6191,精成科,"3,988,000",0.14%
3376,新日興,"1,741,000",0.13%
3036,文曄,"1,200,000",0.12%
3217,優群,"874,000",0.06%
2002,中鋼,"5,163,000",0.04%
1319,東陽,"511,000",0.02%
1815,富喬,"107,000",0%
2439,美律,"18,000",0%
2337,旺宏,"8,000",0%
6147,頎邦,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
