股票代號,股票名稱,股數,持股權重
2330,台積電,"11,864,000",10.05%
2454,聯發科,"5,186,000",9.25%
2383,台光電,"4,750,000",7.95%
3037,欣興,"20,300,000",7.83%
3017,奇鋐,"5,949,000",6.95%
3653,健策,"2,512,000",5.04%
2327,國巨*,"25,107,000",4.94%
2303,聯電,"89,118,000",4.91%
2308,台達電,"7,420,000",4.86%
6223,旺矽,"2,544,000",4.68%
2345,智邦,"6,464,000",4.26%
6669,緯穎,"5,582,561",4.07%
3711,日月光投控,"16,811,000",4.01%
8046,南電,"9,037,000",3.63%
3665,貿聯-KY,"3,943,848",3.05%
6274,台燿,"5,696,000",2.83%
6805,富世達,"1,773,000",1.53%
5274,信驊,"207,900",1.5%
2449,京元電子,"13,138,450",1.43%
3443,創意,"413,000",1.19%
4958,臻鼎-KY,"3,543,000",0.6%
6510,精測,"400,000",0.51%
3264,欣銓,"5,182,000",0.49%
2368,金像電,"1,363,000",0.49%
8210,勤誠,"1,159,000",0.36%
8996,高力,"485,000",0.28%
6278,台表科,"3,248,000",0.24%
6515,穎崴,"95,000",0.19%
6271,同欣電,"2,222,000",0.17%
6191,精成科,"3,988,000",0.12%
3376,新日興,"1,740,000",0.11%
2313,華通,"501,000",0.04%
2002,中鋼,"5,163,000",0.03%
8358,金居,"1,000",0%
3661,世芯-KY,"1,000",0%
2439,美律,"1,000",0%
1590,亞德客-KY,"1,000",0%
3008,大立光,"1,000",0%
2382,廣達,"1,000",0%
6187,萬潤,"1,000",0%
4979,華星光,"1,000",0%
2408,南亞科,"1,000",0%
2637,慧洋-KY,"1,000",0%
2360,致茂,"1,000",0%
6488,環球晶,"1,000",0%
4966,譜瑞-KY,"1,000",0%
8150,南茂,"1,000",0%
2317,鴻海,"1,000",0%
5347,世界,"1,000",0%
2481,強茂,"5,000",0%
